,sentiment,clean_review_sentence
0,1,attempt make film issue appreciated
1,1,weirdness
2,1,john abraham look good believable even action sequence
3,0,friend may find end story tragic end death protagonist
4,1,story cleverly lends appeal mood young mature taking flight mood child
5,1,film background score songmusic notable
6,1,way dance take city shown well
7,0,nothing film entice entice audience
8,0,basis said rahul gandhi beating drum opposition dynasty
9,0,perhaps effect saving film
10,1,bahubali 2 become bigger brighter ever magnificence grandeur
11,1,ritesh shah raja menon suresh nair beautifully screenplayed
12,0,also affected nawazs performance
13,1,despite big challenge present audience bringing newness story director done well
14,0,feature disadvantage raees tried serve entertainment realistically adding commercial spice
15,0,problem lie coordination two
16,0,leave movie want
17,1,rakesh omprakash mehra present attractive visuals
18,1,film succeeds purpose
19,1,rohit shettys film dont sad color
20,0,entire film flat due collective weight everyone
21,0,serious issue like trial presented superficially
22,1,arshad warsi naseeruddin shah given full support
23,0,one character film negative shade goodness seen none maternal uncle film protagonist suraj
24,1,bryce talpade fit role cameraman
25,0,glimpse negligence acting
26,1,cinematography great
27,1,like film film bhatt sahib lived promise bringing many new face bollywood
28,1,farhan akhtar also imbibed internal tightness milkhas exterior
29,1,shoojit sircar beautifully used ability limited range actor film
30,0,film solid story
31,1,two perform complementary dramatic scene enhance final effect
32,0,editing weak
33,0,short sequel music weaker simpler previous film
34,1,newness story really difficult bring kind newness screenplay
35,0,shine boon lover
36,1,film got grandeur
37,0,solution big problem show failure writing department
38,1,talking illuminate every issue
39,1,apoorva also touched newness film formula
40,1,ajay devgans effort commendable
41,0,senseless senseless character seen stuttering
42,0,director milan luthria along film writer rajat arora needed little effort
43,0,writerdirector repeatedly turned flow film view need
44,1,also received spontaneous dialogue
45,1,middle caught balancing thriller comedy
46,0,seems clear special care taken want boldness
47,1,tabu answer rajeshwari
48,1,location charming
49,1,song also make foot twitch
50,0,sometimes casting shraddha okay film
51,1,talking acting ayushmann khurrana got tone touching new height film film
52,0,film tiring due duration around two hour
53,1,film best film till date
54,0,weak part best film like hindi medium
55,1,glimpse banaras film compelling
